"","a","delta","cost","score"
"79",0.025,50,9,Inf
"80",0.025,50,10,Inf
"86",0.025,55,6,Inf
"87",0.025,55,7,Inf
"88",0.025,55,8,Inf
"89",0.025,55,9,Inf
"90",0.025,55,10,Inf
"97",0.025,60,7,Inf
"98",0.025,60,8,Inf
"99",0.025,60,9,Inf
"100",0.025,60,10,Inf
"103",0.03,40,3,Inf
"104",0.03,40,4,Inf
"105",0.03,40,5,Inf
"106",0.03,40,6,Inf
"107",0.03,40,7,Inf
"108",0.03,40,8,Inf
"109",0.03,40,9,Inf
"110",0.03,40,10,Inf
"114",0.03,45,4,Inf
"115",0.03,45,5,Inf
"116",0.03,45,6,Inf
"117",0.03,45,7,Inf
"118",0.03,45,8,Inf
"119",0.03,45,9,Inf
"120",0.03,45,10,Inf
"125",0.03,50,5,Inf
"126",0.03,50,6,Inf
"127",0.03,50,7,Inf
"128",0.03,50,8,Inf
"129",0.03,50,9,Inf
"130",0.03,50,10,Inf
"136",0.03,55,6,Inf
"137",0.03,55,7,Inf
"138",0.03,55,8,Inf
"139",0.03,55,9,Inf
"140",0.03,55,10,Inf
"148",0.03,60,8,Inf
"149",0.03,60,9,Inf
"150",0.03,60,10,Inf
"154",0.035,40,4,Inf
"155",0.035,40,5,Inf
"156",0.035,40,6,Inf
"157",0.035,40,7,Inf
"158",0.035,40,8,Inf
"159",0.035,40,9,Inf
"160",0.035,40,10,Inf
"164",0.035,45,4,Inf
"165",0.035,45,5,Inf
"166",0.035,45,6,Inf
"167",0.035,45,7,Inf
"168",0.035,45,8,Inf
"169",0.035,45,9,Inf
"170",0.035,45,10,Inf
"175",0.035,50,5,Inf
"176",0.035,50,6,Inf
"177",0.035,50,7,Inf
"178",0.035,50,8,Inf
"179",0.035,50,9,Inf
"180",0.035,50,10,Inf
"187",0.035,55,7,Inf
"188",0.035,55,8,Inf
"189",0.035,55,9,Inf
"190",0.035,55,10,Inf
"198",0.035,60,8,Inf
"199",0.035,60,9,Inf
"200",0.035,60,10,Inf
"204",0.04,40,4,Inf
"205",0.04,40,5,Inf
"206",0.04,40,6,Inf
"207",0.04,40,7,Inf
"208",0.04,40,8,Inf
"209",0.04,40,9,Inf
"210",0.04,40,10,Inf
"215",0.04,45,5,Inf
"216",0.04,45,6,Inf
"217",0.04,45,7,Inf
"218",0.04,45,8,Inf
"219",0.04,45,9,Inf
"220",0.04,45,10,Inf
"225",0.04,50,5,Inf
"226",0.04,50,6,Inf
"227",0.04,50,7,Inf
"228",0.04,50,8,Inf
"229",0.04,50,9,Inf
"230",0.04,50,10,Inf
"237",0.04,55,7,Inf
"238",0.04,55,8,Inf
"239",0.04,55,9,Inf
"240",0.04,55,10,Inf
"248",0.04,60,8,Inf
"249",0.04,60,9,Inf
"250",0.04,60,10,Inf
