"","x","y","bp","dist"
"122",-51.1632,-30.2653,570,2412.30697743599
"123",-55.3896,-21.7743,570,1387.03001315563
"124",-49.3712,-23.1531,570,1899.521290725
"125",-56.738,-27.514,577,1912.64519004933
"126",-50.538,-5.8084,555,1380.0970424241
"127",-54.4586,-25.2013,562,1764.08192215744
"128",-54.418,-24.9333,553,1739.8777778573
"129",-52.3214,-23.5469,557,1728.09222062307
"130",-52.508,-27.271,557,2059.40924304089
"131",-58.082,-28.319,545,1964.28051396111
"132",-48.3189,-9.9597,545,1497.09811159616
"133",-42.125,-22.8333,543,2483.67038513216
"134",-40.2959,-20.2981,538,2538.6060781463
"135",-54.8278,-16.5167,537,986.176679739005
"136",-49.1972,-28.7917,533,2379.91358063622
"137",-52.1195,-29.2885,533,2272.62081979281
"138",-52.2895,-23.6009,537,1734.81225684288
"139",-40.371,-20.3048,531,2531.53693845153
"140",-41.25,-13.7625,529,2272.54761131132
"141",-48.9991,-28.6213,531,2376.41703205437
"142",-48.57,-27.67,532,2320.08593684219
"143",-50.217,-29.933,520,2428.04914579655
"144",-52.7738,-23.2796,526,1676.46007125431
"145",-53.38,-29.85,507,2273.13822994717
"146",-51.81,-27.53,519,2119.78221083011
"147",-52.8533,-22.6119,521,1612.99144402476
"148",-51.533,-29.981,519,2367.30124277965
"149",-52.195,-31.711,521,2508.13800530071
"150",-49.3842,-25.4756,518,2082.89294045088
"151",-58.4349,-33.0915,519,2477.65975944813
"152",-50.4992,-5.8237,516,1383.27398901244
"153",-50.5376,-5.808,516,1380.15592713546
"154",-48.9639,-28.6063,516,2377.17890882992
"155",-57.8212,-9.8132,516,470.233882787876
"156",-57.8212,-9.8132,516,470.233882787876
"157",-48.4419,-10.5107,509,1479.08424230581
"158",-51.878,-21.209,511,1564.04680103109
"159",-48.9918,-28.6129,513,2376.10781711975
"160",-38.09,-7.83,476,2643.35743078486
"161",-54.72,-27.568,498,1988.75518659771
"162",-51.0433,-26.2388,507,2043.97030906448
"163",-55.5016,-27.11,506,1911.93111459841
"164",-61.7638,-10.7979,495,27.4352519280286
"165",-50.4317,-25.7923,503,2041.81852746125
"166",-45.7494,-23.4003,500,2203.01759926061
"167",-53.017,-27.1,488,2017.80711643521
"168",-54.2537,-24.0766,495,1665.59288781363
"169",-51.974,-22.5142,483,1662.66247076166
"170",-52.5,-23.5,478,1712.83461306138
"171",-49.0358,-28.6852,488,2379.89759184993
"172",-52.591,-23.3162,455,1691.02442274055
"173",-53.27,-29.44,473,2236.55044051755
"174",-51.67,-27.56,450,2129.96098781929
"175",-43.55,-12.06,462,2011.50837369882
"176",-52.892,-30.845,465,2392.94404700452
"177",-58.6984,-34.306,459,2607.19100299169
"178",-50.5648,-24.0218,454,1883.24394863934
"179",-48.9379,-28.6201,461,2379.93724890455
"180",-42.2852,-22.8652,453,2470.96532620077
"181",-57.149,-27.552,445,1904.85524413013
"182",-50.885,-24.0998,435,1868.2465884322
"183",-58.5924,-34.2289,439,2600.12138973451
"184",-56.729,-27.506,429,1912.06944805573
"185",-58.744,-34.346,435,2610.99997301126
"186",-54.4591,-25.1973,412,1763.66699929947
"187",-54.8439,-16.495,421,983.348659942068
"188",-47.3844,-23.4517,403,2074.15865045336
"189",-56.169,-27.356,415,1913.98281650486
"190",-54.656,-27.529,412,1987.36512166944
"191",-58.26,-34.127,418,2593.63143132935
"192",-36.81,-6.16,408,2817.44305576229
"193",-49.1166,-5.3842,404,1542.76285637335
"194",-54.668,-27.544,400,1988.40168866577
"195",-49.0757,-20.6365,400,1745.3502215587
"196",-51.7418,-29.1361,399,2275.88316975458
