"","X","Longitude","Latitude","Xadj","Yadj","dist","bp","C14Age","C14SD","calCurves","resOffsets","resErrors","clusterID","optional"
"33",69,-58.425,-33.426,-58.425,-33.426,2514.436810223,884,1020,130,"shcal20",0,0,69,TRUE
"34",72,-48,-10.78,-48,-10.78,1526.03402801296,862,1015,60,"shcal20",0,0,72,TRUE
"35",74,-52.5624,-3.7858,-52.5624,-3.7858,1305.04462378088,855,1000,30,"shcal20",0,0,74,TRUE
"36",75,-48.7254,-1.539,-48.7254,-1.539,1795.41034759707,849,980,40,"shcal20",0,0,75,TRUE
"37",77,-56.2823,-20.5678,-56.2823,-20.5678,1224.78462658079,839,970,60,"shcal20",0,0,77,TRUE
"38",85,-51.75,-27.498,-51.75,-27.498,2119.93152429313,765,900,50,"shcal20",0,0,85,TRUE
"39",86,-55.66,-19.83,-55.66,-19.83,1191.69544317385,757,890,50,"shcal20",0,0,86,TRUE
"40",87,-52.222,-31.847,-52.722,-31.847,2520.624566856,753,890,40,"shcal20",0,0,87,TRUE
"41",90,-38.7122,-8.9019,-38.7122,-8.9019,2558.56916361598,717,810,150,"shcal20",0,0,89,TRUE
"42",94,-48.77,-28.43,-49.27,-28.43,2373.31671733336,692,795,95,"shcal20",0,0,94,TRUE
"43",96,-52.89,-14.52,-52.89,-14.52,1060.49327576763,678,780,90,"shcal20",0,0,96,TRUE
"44",98,-44.24,-15.14,-44.24,-15.14,1975.80178710619,669,770,40,"shcal20",0,0,98,TRUE
"45",101,-54.2534,-24.0765,-54.2534,-24.0765,1665.598912989,661,760,40,"shcal20",0,0,101,TRUE
"46",104,-46.04,-20.97,-46.04,-20.97,2030.05366082134,645,720,150,"shcal20",0,0,104,TRUE
"47",109,-38.23,-11.32,-38.23,-11.32,2591.50344323561,615,680,130,"shcal20",0,0,109,TRUE
"48",112,-45.076,-23.4448,-45.576,-23.4448,2261.98717480951,602,660,80,"shcal20",0,0,112,TRUE
"49",113,-42.1582,-20.7346,-42.1582,-20.7346,2377.37334580037,604,650,40,"shcal20",0,0,113,TRUE
"50",117,-45.3701,-4.2532,-45.3701,-4.2532,1973.63302056153,592,630,80,"shcal20",0,0,117,TRUE
"51",121,-52,-16,-52,-16,1213.56813124127,591,620,55,"shcal20",0,0,121,TRUE
"52",122,-51.1632,-30.2653,-51.6632,-30.2653,2412.30697743599,570,610,50,"shcal20",0,0,122,TRUE
"53",123,-55.3896,-21.7743,-55.3896,-21.7743,1387.03001315563,570,610,50,"shcal20",0,0,123,TRUE
"54",131,-58.082,-28.319,-58.082,-28.319,1964.28051396111,545,580,50,"shcal20",0,0,131,TRUE
"55",137,-52.1195,-29.2885,-52.1195,-29.2885,2272.62081979281,533,560,40,"shcal20",0,0,137,TRUE
