"","x","y","bp","dist"
"113",-48.7254,-1.539,849,1795.41034759707
"114",-48.7305,-1.7421,844,1781.8399985281
"115",-56.2823,-20.5678,839,1224.78462658079
"116",-43.6,-23.0167,838,2362.75671715986
"117",-50.516,-5.763,824,1384.43829623236
"118",-50.5203,-5.7893,824,1382.76884110992
"119",-50.5253,-5.7834,824,1382.54515729087
"120",-54.2154,-16.2185,809,1019.9999787037
"121",-50.4945,-5.8227,805,1383.79252733046
"122",-49.9045,-6.5119,805,1414.0154625963
"123",-49.35,-23.283,806,1910.96803410263
"124",-45.4056,-2.3747,786,2059.90940550701
"125",-50.45,-5.84,792,1387.45739040431
"126",-49.1972,-28.7917,350,2379.91358063622
"127",-51.059,-6.5294,781,1294.93926650304
"128",-54.901,-27.692,792,1994.25814710874
"129",-48.2772,-13.9506,780,1523.37955761984
"130",-51.05,-22.767,788,1747.3490337669
"131",-53.332,-29.417,785,2231.65855401029
"132",-51.75,-27.498,765,2119.93152429313
"133",-55.66,-19.83,757,1191.69544317385
"134",-52.222,-31.847,753,2520.624566856
"135",-61.9285,-10.8993,752,6.99285822159429
"136",-50.083,-29.767,756,2419.59570840114
"137",-58.425,-33.426,756,2514.436810223
"138",-49.6,-23.583,750,1915.73543129561
"139",-50.53,-5.86,718,1378.48883977061
"140",-48.2772,-13.9506,718,1523.37955761984
"141",-51.993,-21.511,711,1579.5535695121
"142",-50.516,-5.763,714,1384.43829623236
"143",-38.7875,-8.8129,702,2551.57796512301
"144",-38.7122,-8.9019,717,2558.56916361598
"145",-56.73,-27.52,700,1913.51803195867
"146",-49.0426,-5.1732,692,1559.9582753176
"147",-54.25,-29.55,694,2208.70210364801
"148",-43.2333,-22.8,697,2382.78576246375
"149",-48.77,-28.43,692,2373.31671733336
"150",-50.45,-5.84,691,1387.45739040431
"151",-58.425,-33.426,690,2514.436810223
"152",-34.99,-8.03,697,2977.68457646743
"153",-52.89,-14.52,678,1060.49327576763
"154",-50.45,-5.84,675,1387.45739040431
"155",-53.249,-29.761,671,2269.56031133997
"156",-44.24,-15.14,669,1975.80178710619
"157",-53.417,-27.2,672,2008.46399447346
"158",-51.059,-6.5294,661,1294.93926650304
"159",-49.9922,-22.9076,660,1834.70339670688
"160",-54.2534,-24.0765,661,1665.598912989
"161",-49.7069,-3.8487,665,1563.40948724531
"162",-54.4603,-25.2054,648,1764.40262206863
"163",-48.2772,-13.9506,642,1523.37955761984
"164",-48.6066,-1.8896,643,1783.73898130766
"165",-50.518,-5.77,643,1383.90782416333
"166",-46.04,-20.97,645,2030.05366082134
"167",-54.2306,-24.6797,612,1724.54399742478
"168",-53.644,-29.678,610,2245.18241543445
"169",-58.568,-34.209,611,2598.26575504378
"170",-52.33,-3.54,614,1342.12751080882
"171",-56.615,-27.637,620,1929.32741255661
"172",-49.0426,-5.1732,605,1559.9582753176
"173",-55.0456,-16.3861,606,958.940629277375
"174",-38.23,-11.32,615,2591.50344323561
"175",-54.07,-27.3,605,1988.89808958989
"176",-44.2645,-2.4996,605,2166.3723569679
"177",-48.2772,-13.9506,602,1523.37955761984
"178",-45.076,-23.4448,602,2261.98717480951
"179",-42.1582,-20.7346,604,2377.37334580037
"180",-52.21,-3.24,600,1373.22725486362
"181",-38.6405,-7.2534,603,2594.72235963729
"182",-50.5353,-5.82,603,1379.82405880648
"183",-44.2645,-2.4996,604,2166.3723569679
"184",-45.3701,-4.2532,592,1973.63302056153
"185",-50.5379,-5.8135,601,1379.86784351789
"186",-54.4815,-25.2799,594,1770.69873768642
"187",-52.21,-3.24,593,1373.22725486362
"188",-49.0426,-5.1732,586,1559.9582753176
"189",-53.083,-27.117,586,2016.25082765619
"190",-52,-16,591,1213.56813124127
"191",-52.6019,-23.3249,571,1691.10878712193
"192",-51.1632,-30.2653,570,2412.30697743599
"193",-55.3896,-21.7743,570,1387.03001315563
"194",-49.3712,-23.1531,570,1899.521290725
"195",-56.738,-27.514,577,1912.64519004933
"196",-54.25,-29.55,559,2208.70210364801
"197",-50.538,-5.8084,555,1380.0970424241
"198",-54.4586,-25.2013,562,1764.08192215744
"199",-54.418,-24.9333,553,1739.8777778573
"200",-52.3214,-23.5469,557,1728.09222062307
"201",-52.508,-27.271,557,2059.40924304089
"202",-42.1582,-20.7346,545,2377.37334580037
"203",-52.222,-31.847,545,2520.624566856
"204",-58.082,-28.319,545,1964.28051396111
"205",-48.3189,-9.9597,545,1497.09811159616
"206",-52.21,-3.24,547,1373.22725486362
"207",-50.5465,-5.7781,537,1380.67062382681
"208",-42.125,-22.8333,543,2483.67038513216
"209",-56.615,-27.637,540,1929.32741255661
"210",-40.2959,-20.2981,538,2538.6060781463
"211",-54.8278,-16.5167,537,986.176679739005
"212",-49.1972,-28.7917,533,2379.91358063622
"213",-52.1195,-29.2885,533,2272.62081979281
"214",-52.2895,-23.6009,537,1734.81225684288
"215",-40.371,-20.3048,531,2531.53693845153
"216",-41.25,-13.7625,529,2272.54761131132
"217",-48.9991,-28.6213,531,2376.41703205437
"218",-48.57,-27.67,532,2320.08593684219
"219",-50.5021,-5.8202,524,1383.14636344444
"220",-52.89,-14.52,526,1060.49327576763
