,Longitude,Latitude,Xadj,Yadj,dist,bp,C14Age,C14SD,calCurves,resOffsets,resErrors
24,-59.5,-8.56,-59.5,-8.56,378.017456212679,1075,1210,60,shcal20,0,0
25,-36.81,-6.13,-36.81,-6.13,2818.16699619294,1017,1150,65,shcal20,0,0
26,-51.05,-22.767,-51.05,-22.767,1747.3490337669,1002,1130,150,shcal20,0,0
27,-49.9045,-6.5119,-49.9045,-6.5119,1414.0154625963,981,1120,40,shcal20,0,0
28,-54.9133,-16.5375,-54.9133,-16.5375,980.390742012679,952,1095,35,shcal20,0,0
29,-50.083,-29.767,-50.083,-29.267,2419.59570840114,932,1070,110,shcal20,0,0
30,-40.84,-20.98,-41.34,-20.98,2514.03118348567,909,1055,80,shcal20,0,0
31,-58.425,-33.426,-58.425,-33.426,2514.436810223,884,1020,130,shcal20,0,0
32,-48,-10.78,-48,-10.78,1526.03402801296,862,1015,60,shcal20,0,0
33,-52.5624,-3.7858,-52.5624,-3.7858,1305.04462378088,855,1000,30,shcal20,0,0
34,-48.7254,-1.539,-48.7254,-1.539,1795.41034759707,849,980,40,shcal20,0,0
35,-56.2823,-20.5678,-56.2823,-20.5678,1224.78462658079,839,970,60,shcal20,0,0
36,-51.75,-27.498,-51.75,-27.498,2119.93152429313,765,900,50,shcal20,0,0
37,-55.66,-19.83,-55.66,-19.83,1191.69544317385,757,890,50,shcal20,0,0
38,-52.222,-31.847,-52.722,-31.847,2520.624566856,753,890,40,shcal20,0,0
39,-38.7122,-8.9019,-38.7122,-8.9019,2558.56916361598,717,810,150,shcal20,0,0
40,-48.77,-28.43,-49.27,-28.43,2373.31671733336,692,795,95,shcal20,0,0
41,-34.99,-8.03,-34.99,-8.03,2977.68457646743,697,785,150,shcal20,0,0
42,-52.89,-14.52,-52.89,-14.52,1060.49327576763,678,780,90,shcal20,0,0
43,-44.24,-15.14,-44.24,-15.14,1975.80178710619,669,770,40,shcal20,0,0
44,-54.2534,-24.0765,-54.2534,-24.0765,1665.598912989,661,760,40,shcal20,0,0
45,-46.04,-20.97,-46.04,-20.97,2030.05366082134,645,720,150,shcal20,0,0
46,-38.23,-11.32,-38.23,-11.32,2591.50344323561,615,680,130,shcal20,0,0
47,-45.076,-23.4448,-45.576,-23.4448,2261.98717480951,602,660,80,shcal20,0,0
48,-42.1582,-20.7346,-42.1582,-20.7346,2377.37334580037,604,650,40,shcal20,0,0
49,-45.3701,-4.2532,-45.3701,-4.2532,1973.63302056153,592,630,80,shcal20,0,0
50,-52,-16,-52,-16,1213.56813124127,591,620,55,shcal20,0,0
51,-51.1632,-30.2653,-51.6632,-30.2653,2412.30697743599,570,610,50,shcal20,0,0
52,-55.3896,-21.7743,-55.3896,-21.7743,1387.03001315563,570,610,50,shcal20,0,0
53,-58.082,-28.319,-58.082,-28.319,1964.28051396111,545,580,50,shcal20,0,0
54,-52.1195,-29.2885,-52.1195,-29.2885,2272.62081979281,533,560,40,shcal20,0,0
55,-41.25,-13.7625,-41.25,-13.7625,2272.54761131132,529,550,95,shcal20,0,0
56,-48.57,-27.67,-49.07,-27.67,2320.08593684219,532,550,70,shcal20,0,0
57,-52.8533,-22.6119,-52.8533,-22.6119,1612.99144402476,521,530,55,shcal20,0,0
58,-49.3842,-25.4756,-49.3842,-25.4756,2082.89294045088,518,528,70,shcal20,0,0
59,-57.8212,-9.8132,-57.8212,-9.8132,470.233882787876,516,520,30,shcal20,0,0
60,-57.8212,-9.8132,-57.8212,-9.8132,470.233882787876,516,520,30,shcal20,0,0
61,-38.09,-7.83,-38.09,-7.83,2643.35743078486,476,510,150,shcal20,0,0
62,-51.0433,-26.2388,-51.0433,-26.2388,2043.97030906448,507,500,45,shcal20,0,0
63,-43.55,-12.06,-43.55,-12.06,2011.50837369882,462,450,50,shcal20,0,0
64,-52.892,-30.845,-52.892,-30.845,2392.94404700452,465,445,40,shcal20,0,0
65,-58.6984,-34.306,-58.6984,-34.306,2607.19100299169,459,442,45,shcal20,0,0
66,-50.5648,-24.0218,-50.5648,-24.0218,1883.24394863934,454,440,50,shcal20,0,0
67,-47.3844,-23.4517,-47.3844,-23.4517,2074.15865045336,403,415,105,shcal20,0,0
68,-49.0757,-20.6365,-49.0757,-20.6365,1745.3502215587,400,390,40,shcal20,0,0
69,-40.5667,-7.5333,-40.5667,-7.5333,2380.0364286052,327,340,150,shcal20,0,0
70,-47.47,-5.52,-47.47,-5.52,1704.97587083765,316,300,30,shcal20,0,0
71,-48.47,-23.59,-48.47,-23.59,2000.08698420207,306,290,40,shcal20,0,0
72,-43.6133,-21.7785,-43.6133,-21.7785,2293.1123852665,194,230,40,shcal20,0,0
73,-52.2481,-4.7173,-52.2481,-4.7173,1273.33506039818,191,210,30,shcal20,0,0
74,-53.33,-23.667,-53.33,-23.667,1678.02408343608,103,110,60,shcal20,0,0
