"","model","null","dry","moist"
"1",1,1793.07902607894,1548.03927706963,1496.54097162716
"2",2,2977.86310967639,2454.61819875125,1862.63606615933
"3",3,3210.55861769575,2944.22709850308,2778.06253707592
"4",4,3776.50134316428,3364.98032278669,3153.12044615519
