Unnamed: 0,Longitude,Latitude,dist,bp,C14Age,C14SD,calCurves,resOffsets,resErrors,sim0,sim1
   61,-54.2154,-16.2185,1019.9999787037,  962, 1100,   60,shcal20,    0,    0, 4450,    0
   62,-54.9133,-16.5375,980.390742012679,  952, 1095,   35,shcal20,    0,    0, 4510,    0
   63,-53.433,-27.133,2001.16866545261,  930, 1070,  100,shcal20,    0,    0, 2920, 1840
   64,-50.083,-29.767,2419.59570840114,  932, 1070,  110,shcal20,    0,    0, 2440, 1360
   65,-52.6019,-23.3249,1691.10878712193,  924, 1065,   95,shcal20,    0,    0, 3520, 2110
   66,-50.502,-5.767,1385.65239539704,  924, 1060,   40,shcal20,    0,    0, 3850, 4090
   67,-40.84,-20.98,2514.03118348567,  909, 1055,   80,shcal20,    0,    0,    0,    0
   68,-49.417,-23.167,1897.16030574975,  884, 1030,  100,shcal20,    0,    0, 3370, 1780
   69,-58.425,-33.426,2514.436810223,  884, 1020,  130,shcal20,    0,    0, 1870,    0
   70,-50.511,-5.764,1384.89202461727,  862, 1020,   40,shcal20,    0,    0, 3850, 4090
   71,-51.689,-20.779,1545.07567084525,  864, 1015,   75,shcal20,    0,    0, 3820,    0
   72,-48.0,-10.78,1526.03402801296,  862, 1015,   60,shcal20,    0,    0, 3580,    0
   73,-49.7069,-3.8487,1563.40948724531,  855, 1000,   70,shcal20,    0,    0, 3700, 2980
   74,-52.5624,-3.7858,1305.04462378088,  855, 1000,   30,shcal20,    0,    0, 4120,    0
   75,-48.7254,-1.539,1795.41034759707,  849,  980,   40,shcal20,    0,    0, 3430, 3640
   76,-48.7305,-1.7421,1781.8399985281,  844,  970,   40,shcal20,    0,    0, 3490, 3700
   77,-56.2823,-20.5678,1224.78462658079,  839,  970,   60,shcal20,    0,    0, 4090,    0
   78,-43.6,-23.0167,2362.75671715986,  838,  970,  100,shcal20,    0,    0, 2710, 1120
   79,-50.5203,-5.7893,1382.76884110992,  824,  950,   50,shcal20,    0,    0, 3850, 4090
   80,-50.5253,-5.7834,1382.54515729087,  824,  950,   40,shcal20,    0,    0, 3850, 4090
   81,-49.35,-23.283,1910.96803410263,  806,  930,  100,shcal20,    0,    0, 3370, 1780
   82,-45.4056,-2.3747,2059.90940550701,  786,  930,   30,shcal20,    0,    0, 2950, 3460
   83,-54.901,-27.692,1994.25814710874,  792,  920,   70,shcal20,    0,    0, 2860, 1840
   84,-53.332,-29.417,2231.65855401029,  785,  905,   95,shcal20,    0,    0, 2560, 1600
   85,-51.75,-27.498,2119.93152429313,  765,  900,   50,shcal20,    0,    0, 2830, 1690
   86,-55.66,-19.83,1191.69544317385,  757,  890,   50,shcal20,    0,    0, 4120,    0
   87,-52.222,-31.847,2520.624566856,  753,  890,   40,shcal20,    0,    0,    0,    0
   88,-50.53,-5.86,1378.48883977061,  718,  845,   50,shcal20,    0,    0, 3850, 4090
   89,-38.7875,-8.8129,2551.57796512301,  702,  814,   61,shcal20,    0,    0, 2020,    0
   90,-38.7122,-8.9019,2558.56916361598,  717,  810,  150,shcal20,    0,    0, 2020,    0
   91,-56.73,-27.52,1913.51803195867,  700,  810,   60,shcal20,    0,    0, 2860, 1840
   92,-54.25,-29.55,2208.70210364801,  694,  800,   40,shcal20,    0,    0, 2560, 1630
   93,-43.2333,-22.8,2382.78576246375,  697,  800,  100,shcal20,    0,    0, 2710, 1180
   94,-48.77,-28.43,2373.31671733336,  692,  795,   95,shcal20,    0,    0, 2650, 1300
   95,-34.99,-8.03,2977.68457646743,  697,  785,  150,shcal20,    0,    0, 1480,    0
   96,-52.89,-14.52,1060.49327576763,  678,  780,   90,shcal20,    0,    0, 4300,    0
   97,-53.249,-29.761,2269.56031133997,  671,  775,   65,shcal20,    0,    0, 2470, 1540
   98,-44.24,-15.14,1975.80178710619,  669,  770,   40,shcal20,    0,    0, 3040,    0
   99,-53.417,-27.2,2008.46399447346,  672,  770,  100,shcal20,    0,    0, 2920, 1840
  100,-49.9922,-22.9076,1834.70339670688,  660,  760,   50,shcal20,    0,    0, 3460, 1810
  101,-54.2534,-24.0765,1665.598912989,  661,  760,   40,shcal20,    0,    0, 3430, 2170
  102,-48.6066,-1.8896,1783.73898130766,  643,  740,   40,shcal20,    0,    0, 3430, 3670
  103,-50.518,-5.77,1383.90782416333,  643,  740,   40,shcal20,    0,    0, 3850, 4090
  104,-46.04,-20.97,2030.05366082134,  645,  720,  150,shcal20,    0,    0, 3250,    0
  105,-54.2306,-24.6797,1724.54399742478,  612,  700,   55,shcal20,    0,    0, 3340, 2110
  106,-53.644,-29.678,2245.18241543445,  610,  695,   55,shcal20,    0,    0, 2470, 1540
  107,-58.568,-34.209,2598.26575504378,  611,  690,   70,shcal20,    0,    0, 1720,    0
  108,-52.33,-3.54,1342.12751080882,  614,  690,   90,shcal20,    0,    0, 4060, 4180
  109,-38.23,-11.32,2591.50344323561,  615,  680,  130,shcal20,    0,    0, 2020,    0
  110,-54.07,-27.3,1988.89808958989,  605,  675,   50,shcal20,    0,    0, 2920, 1840
  111,-44.2645,-2.4996,2166.3723569679,  605,  670,   30,shcal20,    0,    0, 2830, 3400
  112,-45.076,-23.4448,2261.98717480951,  602,  660,   80,shcal20,    0,    0,    0,    0
  113,-42.1582,-20.7346,2377.37334580037,  604,  650,   40,shcal20,    0,    0, 2740, 1060
  114,-52.21,-3.24,1373.22725486362,  600,  645,   60,shcal20,    0,    0, 4030, 4150
